I,chi_eff_true,chi_eff_H1,chi_eff_H0
0.9875751503006012,2.0242283255674565,3.91060496836082,1.1550775530802309
0.9939879759519038,2.0118790341212396,3.920527833312981,1.139353089040899
1.0004008016032064,1.9991977543546255,3.9301408418622845,1.1233475535113158
1.006813627254509,1.9861876733964792,3.9394469686684577,1.107063644812495
1.0132264529058117,1.9728519277049905,3.9484491410984948,1.0905040183660937
1.0196392785571142,1.959193604188382,3.9571502402726626,1.0736712876432577
1.0260521042084167,1.9452157412939215,3.965553102080902,1.056568025086591
1.0324649298597195,1.9309213300663934,3.973660518170762,1.0391967630063128
1.038877755511022,1.9163133151770175,3.9814752369076913,1.0215599944513585
1.0452905811623245,1.9013945959238008,3.9889999643087357,1.0036601740563107
1.0517034068136273,1.88616802720437,3.9962373649504848,0.9854997188650145
1.0581162324649298,1.8706364204620947,4.003190062852148,0.9670810091316291
1.0645290581162326,1.854802544606457,4.009860642334562,0.9484063890998087
1.070941883767535,1.8386691269085702,4.016251648855992,0.9294781677608981
1.0773547094188376,1.8222388538724914,4.022365589825386,0.9102986195915896
1.0837675350701403,1.8055143720833335,4.028204935393925,0.8908699852719799
1.0901803607214429,1.7884982890327876,4.033772119225523,0.8711944723844773
1.0965931863727454,1.7711931739227609,4.039069539246897,0.8512742560941859
1.1030060120240481,1.753601558448036,4.044099558378038,0.8311114798115256
1.1094188376753507,1.7357259375583531,4.048864505243484,0.810708255837433
1.1158316633266534,1.7175687702007707,4.053366674865211,0.7900666659918798
1.122244488977956,1.6991324800428238,4.057608329337569,0.7691887622261007
1.1286573146292584,1.680419456177109,4.061591698484907,0.7480765672191403
1.1350701402805612,1.6614320538079141,4.065318980502408,0.7267320749591519
1.1414829659318637,1.6421725949203818,4.0687923425806645,0.7051572513099451
1.1478957915831662,1.622643368932792,4.072013921514461,0.6833540345632265
1.154308617234469,1.6028466333324758,4.074985824296306,0.6613243359769783
1.1607214428857715,1.5827846142958037,4.077710128695088,0.6390700403003784
1.1671342685370742,1.5624595072928962,4.080188883820458,0.6165930062857257
1.1735470941883768,1.5418734776772602,4.082424110673189,0.5938950671876917
